order,suborder,family,genus,species,Bmin,Bmax,Bmid,Brange,B500,B750,B1000,B1250,B1500,B1750,B2000,B2250,B2500,B2750,B3000,B3250,B3500,Body_Length,Body_Mass,Verts,Inverts,Nectar,Seed,Fruit,Pursuit,Glean,Pounce,Digging,Scavenging,Follow_Ants,Flower_Pierce,Probing,Water,Ground,Vegetation,Dead_Leaf,Air,spp_phylo,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length
Passeriformes,Passeri,Cardinalidae,Chlorothraupis ,Chlorothraupis_carmioli,450,1250,850,800,1,1,1,1,1,0,0,0,0,0,0,0,0,16,37.3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,Chlorothraupis_carmioli,23,8.2,8.9,22.5,86.6,15.2,64.8
Passeriformes,Passeri,Cardinalidae,Cyanocompsa ,Cyanocompsa_cyanoides,250,1400,825,1150,1,1,1,1,1,0,0,0,0,0,0,0,0,17.8,32.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Cyanocompsa_cyanoides,19.3,9.9,13.4,20.5,78.9,11.3,67.3
Passeriformes,Passeri,Cardinalidae,Habia ,Habia_rubica,250,1000,625,750,1,1,1,1,0,0,0,0,0,0,0,0,0,18,32.5,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,Habia_rubica,18.1,6.9,8.3,23.7,92.5,15.9,84
Passeriformes,Passeri,Cardinalidae,Parkerthraustes ,Parkerthraustes_humeralis,250,650,450,400,1,1,0,0,0,0,0,0,0,0,0,0,0,16,37,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Parkerthraustes_humeralis,19.7,8.2,10,20.9,83.9,19.8,71.5
Passeriformes,Passeri,Cardinalidae,Pheucticus ,Pheucticus_aureoventris,600,3250,1925,2650,0,1,1,1,1,1,1,1,1,1,1,1,1,22,50.5,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,Pheucticus_aureoventris,22.5,11.1,15.7,25.4,110.4,24.5,88.7
Passeriformes,Passeri,Cardinalidae,Pheucticus ,Pheucticus_chrysogaster,650,3500,2075,2850,0,1,1,1,1,1,1,1,1,1,1,1,1,21.5,56.5,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Pheucticus_chrysogaster,22.8,10.5,15.2,25,106.5,22.4,83.1
Passeriformes,Passeri,Cardinalidae,Piranga ,Piranga_flava,800,2000,1400,1200,0,0,1,1,1,1,1,1,0,0,0,0,0,18,35,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,Piranga_flava,19.2,8.5,9.5,21,93.6,22.8,74.5
Passeriformes,Passeri,Cardinalidae,Piranga ,Piranga_leucoptera,900,1800,1350,900,0,0,1,1,1,1,1,0,0,0,0,0,0,13,16.5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,Piranga_leucoptera,15.8,6.7,7.3,18.3,72.5,14.8,58.8
Passeriformes,Passeri,Cardinalidae,Saltator ,Saltator_aurantiirostris,2600,3500,3050,900,0,0,0,0,0,0,0,0,0,1,1,1,1,19.8,19,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,Saltator_aurantiirostris,21.9,8.8,12.7,27,100.7,16.4,96.4
Passeriformes,Passeri,Cardinalidae,Saltator ,Saltator_coerulescens,250,900,575,650,1,1,1,0,0,0,0,0,0,0,0,0,0,20.5,58,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Saltator_coerulescens,22.3,9.1,11.1,26.5,99.8,14.6,96.8
Passeriformes,Passeri,Cardinalidae,Saltator ,Saltator_grossus,250,1000,625,750,1,1,1,1,0,0,0,0,0,0,0,0,0,20,47,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Saltator_grossus,21.4,10.3,13.7,23.7,96.1,17.9,87.4
Passeriformes,Passeri,Cardinalidae,Saltator ,Saltator_maximus,250,1500,875,1250,1,1,1,1,1,1,0,0,0,0,0,0,0,20.5,47.6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Saltator_maximus,20.7,8.9,10.4,25.3,96.1,16.1,88.9
